,Location_site,Sample:regular,Date,Time,Nearest_USGS,Streamflow_cfs,Sample:wet,Weather,Air_temp_C,Water_level,Water_odor,Water_color,Observed_use,Water_temp_C,Conductivity_Scm,Comments,Bacteria_MPNper100ml,Nitrate_mgperL,latitude,longitude,accuracy,UTM_Northing,UTM_Easting,UTM_Zone,Water_class,Safe_uses
152,"['N-W-16274, Nonnewaug, Rt 61 Bridge, Woodbury']",['Regular sample'],2020-06-24,11:09:45,Nonnewaug,3.52 @ 3:10PM,['Dry'],"['Clouds with some sun', 'Cloudy']",27.8,['Low'],['None'],['Clear'],['Fishing'],22.2,203,"Farther downstream near rocks stagnant water collecting dust, pollen\ mild foam",517.0,0.67,41.599441,-73.173382,4,4606915,652224,18T,1,"('Boating', 'Fishing')"
151,"['N-W-16335, Nonnewaug, Mill Rd - USGS Gauge, Woodbury']",['Regular sample'],2020-06-24,11:29:41,Nonnewaug,3.52 at 3:10PM,['Dry'],['Clouds with some sun'],27.4,['Low'],['None'],['Clear'],['Fishing'],22.7,181.8,,461.0,0.80,41.576077,-73.177649,4,4604313,651923,18T,1,"('Boating', 'Fishing')"
153,"['W-B-15009, Weekeepeemee, Wood Creek Rd,\tBethlehem']",['Regular sample'],2020-06-24,10:47:10,Weekeepeemee,7.94 @3:15PM,['Dry'],"['Clouds with some sun', 'Cloudy']",27.1,['Low'],['None'],['Clear'],['Fishing'],22.3,153.1,Silt fence holding soil near bridge abutment on side uphill,60.0,0.18,41.638965,-73.224883,4,4611214,647841,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
154,"['W-W-CHOH, Weekeepeemee, Chohees Trail,\tWoodbury']",['Regular sample'],2020-06-24,10:19:44,Weekeepeemee,7.94 @ 3:15PM,['Dry'],"['Clouds with some sun', 'Cloudy']",25.6,['Low'],['None'],['Clear'],['Fishing'],21.9,194.7,,161.0,0.32,41.604528,-73.225059,4,4607390,647905,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
137,"['N-W-16335, Nonnewaug, Mill Rd - USGS Gauge, Woodbury']",['Duplicate'],2020-07-07,12:02:05,Nonnewaug,3.74,['Dry'],['Cloudy'],21.6,"['Average', 'Low']",['None'],"['Tea', 'Clear']",['Fishing'],21.1,192.4,Sample taken upstream,210.0,0.68,41.57537,-73.179789,4,4604231,651746,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
142,"['W-B-15009, Weekeepeemee, Wood Creek Rd,\tBethlehem']",['Regular sample'],2020-07-07,11:09:06,Weekeepeemee,5.88,['Dry'],['Cloudy'],21.2,['Low'],['None'],['Clear'],['Fishing'],19.9,195.1,A lot of sand\silt being held by silt fence around bridge abutment on the uphill side,72.0,0.31,41.639065,-73.225035,4,4611224,647828,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
136,"['P-W-15012, Pomperaug, Middle Quarter / South Pomperaug Ave, Woodbury']",['Regular sample'],2020-07-07,12:11:34,Pomperaug,27.8,['Dry'],['Cloudy'],22.8,['Low'],['None'],['Clear'],['Fishing'],23.0,203,,137.0,0.68,41.522014,-73.20581,4,4598262,649700,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
135,"['P-W-15012, Pomperaug, Middle Quarter / South Pomperaug Ave, Woodbury']",['Duplicate'],2020-07-07,12:15:06,Pomperaug,27.8,['Dry'],['Cloudy'],22.8,['Low'],['None'],['Clear'],['Fishing'],23.0,203,,158.0,0.69,41.521887,-73.205793,4,4598248,649702,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
140,"['N-W-16274, Nonnewaug, Rt 61 Bridge, Woodbury']",['Regular sample'],2020-07-07,11:32:41,Nonnewaug,3.74,['Dry'],['Cloudy'],23.6,['Average'],['None'],"['Clear', 'Tea']",['Fishing'],20.3,218,Sample taken off bridge,185.0,0.64,41.599183,-73.173392,4,4606886,652224,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
141,"['P-S-15025, Pomperaug, Poverty Rd - Ewald Park - USGS Gauge, Southbury']",['Regular sample'],2020-07-07,11:16:40,Pomperaug,27.8,['Dry'],['Cloudy'],21.9,['Low'],['None'],['Clear'],['Fishing'],21.8,287,,89.0,0.76,41.481713,-73.224373,4,4593755,648243,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
139,"['P-S-15162, Pomperaug, Route 67 - Bennett Park, Southbury']",['Regular sample'],2020-07-07,11:47:05,Pomperaug,27.8,['Dry'],['Cloudy'],22.0,['Low'],['None'],"['Clear', 'Tea']",['Fishing'],22.6,205,Doggo swimming,61.0,0.57,41.501168,-73.219207,4,4595924,648630,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
144,"['W-W-CHOH, Weekeepeemee, Chohees Trail,\tWoodbury']",['Regular sample'],2020-07-07,10:44:14,Weekeepeemee,5.88,['Dry'],['Cloudy'],22.0,['Low'],['None'],['Clear'],['Fishing'],20.8,200,,201.0,0.34,41.604655,-73.225124,4,4607404,647900,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
143,"['P-S-18395, Pomperaug, The Gym - Flood Bridge Rd, Southbury']",['Regular sample'],2020-07-07,10:55:47,Pomperaug,27.8,['Dry'],['Cloudy'],22.9,['Average'],['None'],['Clear'],['Fishing'],22.2,303,,120.0,0.77,41.468065,-73.232276,4,4592227,647614,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
149,"['N-W-14355, Nonnewaug, Rt 47 Bridge, Woodbury']",['Blank'],2020-07-07,09:56:59,Nonnewaug,3.74,['Dry'],['Cloudy'],72.1,['Low'],['None'],['Clear'],['Fishing'],67.8,203,,0.0,ND,41.557966,-73.21272,4,4602241,649041,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
150,"['N-W-14355, Nonnewaug, Rt 47 Bridge, Woodbury']",['Regular sample'],2020-07-07,09:46:21,Nonnewaug,3.74,['Dry'],['Cloudy'],72.1,['Low'],['None'],['Clear'],['Fishing'],67.8,203,,261.0,0.99,41.557873,-73.211848,4,4602233,649114,18T,1,"('Boating', 'Fishing')"
148,"['P-S-OAKD, Pomperaug, Oakdale Manor, Southbury']",['Regular sample'],2020-07-07,09:56:36,Pomperaug,27.8,['Dry'],['Cloudy'],22.7,['Low'],['None'],"['Tea', 'Clear']","['Boating', 'Fishing', 'Swimming']",23.7,289,,52.0,0.65,41.443132,-73.254992,4,4589420,645773,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
147,"['W-W-15530, Weekeepeemee, Jacks Bridge Rd, Woodbury']",['Regular sample'],2020-07-07,10:07:02,Weekeepeemee,5.88,['Dry'],['Cloudy'],23.0,['Low'],['None'],['Tea'],['Fishing'],20.8,156.8,,0.0,0.34,41.557714,-73.215449,4,4602209,648814,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
146,"['P-S-15388, Pomperaug, Bent of the River, Southbury']",['Regular sample'],2020-07-07,10:25:42,Pomperaug,27.8,['Dry'],['Cloudy'],23.0,['Low'],['None'],['Clear'],['Fishing'],22.1,306,,102.0,0.73,41.468757,-73.258085,4,4592260,645457,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
145,"['W-W-16022, Weekeepeemee, Brushy Hill Rd, Woodbury']",['Regular sample'],2020-07-07,10:29:28,Weekeepeemee,5.88,['Dry'],['Cloudy'],21.9,['Low'],['Musky'],['Clear'],['Fishing'],20.1,164.6,,299.0,0.36,41.585604,-73.230615,4,4605279,647485,18T,1,"('Boating', 'Fishing')"
138,"['N-W-16335, Nonnewaug, Mill Rd - USGS Gauge, Woodbury']",['Regular sample'],2020-07-07,11:51:43,Nonnewaug,3.74,['Dry'],['Cloudy'],21.6,['Low'],['None'],"['Tea', 'Clear']",['Fishing'],21.1,192.4,Sample taken upstream,261.0,0.69,41.575334,-73.179915,4,4604227,651736,18T,1,"('Boating', 'Fishing')"
120,"['P-W-15012, Pomperaug, Middle Quarter / South Pomperaug Ave, Woodbury']",['Regular sample'],2020-07-21,11:27:31,Pomperaug,19.7,['Dry'],['Sunny'],28.5,['Low'],['None'],['Clear'],['Fishing'],24.4,213,,248.0,0.79,41.521888,-73.205926,4,4598248,649690,18T,1,"('Boating', 'Fishing')"
121,"['N-W-16335, Nonnewaug, Mill Rd - USGS Gauge, Woodbury']",['Regular sample'],2020-07-21,11:20:00,Nonnewaug,2.57,['Dry'],['Sunny'],26.4,['Low'],['None'],['Clear'],['Fishing'],22.4,187.3,,152.0,0.74,41.575255,-73.179855,4,4604218,651741,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
122,"['P-S-15162, Pomperaug, Route 67 - Bennett Park, Southbury']",['Regular sample'],2020-07-21,11:08:52,Pomperaug,19.7,['Dry'],['Sun with some clouds'],28.0,['Low'],['None'],['Clear'],['Fishing'],24.2,218,,60.0,0.68,41.501095,-73.219211,4,4595916,648630,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
123,"['N-W-16274, Nonnewaug, Rt 61 Bridge, Woodbury']",['Regular sample'],2020-07-21,11:01:02,Nonnewaug,2.57,['Dry'],['Sunny'],29.5,['Low'],['None'],['Clear'],['Fishing'],22.1,215,,86.0,0.63,41.59926,-73.173461,4,4606895,652218,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
124,"['P-S-15025, Pomperaug, Poverty Rd - Ewald Park - USGS Gauge, Southbury']",['Regular sample'],2020-07-21,10:51:08,Pomperaug,19.7,['Dry'],['Sun with some clouds'],26.3,['Low'],['None'],['Clear'],['Fishing'],23.1,307,,114.0,0.86,41.481868,-73.224432,5,4593772,648238,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
125,"['W-B-15009, Weekeepeemee, Wood Creek Rd,\tBethlehem']",['Regular sample'],2020-07-21,10:40:12,Weekeepeemee,5.88,['Dry'],['Sunny'],23.6,['Low'],['None'],['Clear'],['Fishing'],20.6,196.4,Silt fence holding sediment near bridge abutment on the uphill side,50.0,0.30,41.63897,-73.224865,4,4611214,647843,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
126,"['P-S-18395, Pomperaug, The Gym - Flood Bridge Rd, Southbury']",['Regular sample'],2020-07-21,10:32:29,Pomperaug,19.7,['Dry'],['Sun with some clouds'],27.1,['Low'],['Musky'],['Clear'],['Fishing'],23.8,352,,104.0,0.87,41.468018,-73.232179,4,4592221,647622,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
128,"['W-W-CHOH, Weekeepeemee, Chohees Trail,\tWoodbury']",['Regular sample'],2020-07-21,10:14:28,Weekeepeemee,5.88,['Dry'],['Sunny'],26.6,['Low'],['None'],['Clear'],['Fishing'],22.0,216,,980.0,0.35,41.604632,-73.225052,4,4607401,647906,18T,2,"Danger ! Unsafe for swimming, boating, fishing or wading"
129,"['P-S-15388, Pomperaug, Bent of the River, Southbury']",['Regular sample'],2020-07-21,10:09:26,Pomperaug,19.7,['Dry'],['Sun with some clouds'],26.6,['Low'],['None'],['Clear'],['Fishing'],23.4,351,,84.0,0.81,41.46871,-73.258099,4,4592254,645456,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
130,"['W-W-16022, Weekeepeemee, Brushy Hill Rd, Woodbury']",['Regular sample'],2020-07-21,09:59:19,Weekeepeemee,5.88,['Dry'],['Sunny'],27.1,['Low'],['Musky'],['Clear'],['Fishing'],21.0,191.5,,219.0,0.39,41.585612,-73.230655,4,4605280,647482,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
131,"['P-S-OAKD, Pomperaug, Oakdale Manor, Southbury']",['Duplicate'],2020-07-21,09:44:54,Pomperaug,19.7,['Dry'],['Sun with some clouds'],25.6,['Low'],['None'],['Clear'],"['Swimming', 'Fishing', 'Boating']",24.8,336,,71.0,0.74,41.443258,-73.254904,4,4589434,645780,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
132,"['W-W-15530, Weekeepeemee, Jacks Bridge Rd, Woodbury']",['Regular sample'],2020-07-21,09:40:15,Weekeepeemee,5.88,['Dry'],['Sunny'],27.0,['Low'],['None'],['Cloudy'],['Fishing'],21.4,155.2,,115.0,0.42,41.55768,-73.215501,4,4602205,648809,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
133,"['P-S-OAKD, Pomperaug, Oakdale Manor, Southbury']",['Regular sample'],2020-07-21,09:38:14,Pomperaug,19.7,['Dry'],['Sun with some clouds'],25.6,['Low'],['None'],['Clear'],"['Fishing', 'Boating', 'Swimming']",24.8,336,,0.0,,41.44317,-73.254821,4,4589424,645787,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
134,"['N-W-14355, Nonnewaug, Rt 47 Bridge, Woodbury']",['Regular sample'],2020-07-21,09:25:52,Nonnewaug,2.57,['Dry'],['Sunny'],27.3,['Low'],['None'],['Clear'],['Fishing'],20.3,197.7,,199.0,0.93,41.557819,-73.212007,4,4602226,649100,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
127,"['W-W-CHOH, Weekeepeemee, Chohees Trail,\tWoodbury']",['Duplicate'],2020-07-21,10:21:55,Weekeepeemee,5.88,['Dry'],['Sunny'],26.6,['Low'],['None'],['Clear'],['Fishing'],22.0,216,,1300.0,0.34,41.604577,-73.225085,4,4607395,647903,18T,2,"Danger ! Unsafe for swimming, boating, fishing or wading"
115,"['P-S-OAKD, Pomperaug, Oakdale Manor, Southbury']",['Duplicate'],2020-08-05,10:41:55,Pomperaug,44.2,['Wet'],['Cloudy'],25.7,['Average'],['None'],['Clear'],"['Boating', 'Fishing', 'Swimming']",22.2,398,,238.0,0.74,41.443239,-73.254828,4,4589432,645786,18T,1,"('Boating', 'Fishing')"
118,"['N-W-14355, Nonnewaug, Rt 47 Bridge, Woodbury']",['Regular sample'],2020-08-05,10:22:00,Nonnewaug,3.98,['Wet'],"['Sunny', 'Sun with some clouds']",29.1,['Low'],['None'],"['Clear', 'Tea']",['Fishing'],20.8,194.2,Some branches down after tropical depression came through with heavy winds.,2420.0,0.81,41.557827,-73.212074,4,4602227,649095,18T,2,"Danger ! Unsafe for swimming, boating, fishing or wading"
117,"['W-W-15530, Weekeepeemee, Jacks Bridge Rd, Woodbury']",['Regular sample'],2020-08-05,10:36:52,Weekeepeemee,11.5,['Wet'],"['Sun with some clouds', 'Sunny']",28.1,['Low'],['Musky'],['Tea'],['Fishing'],21.6,154.6,,2420.0,0.37,41.557679,-73.215406,4,4602205,648817,18T,2,"Danger ! Unsafe for swimming, boating, fishing or wading"
116,"['P-S-OAKD, Pomperaug, Oakdale Manor, Southbury']",['Regular sample'],2020-08-05,10:36:54,Pomperaug,44.2,['Wet'],['Cloudy'],25.7,['Average'],['None'],['Clear'],"['Fishing', 'Swimming', 'Boating']",22.2,398,,276.0,0.75,41.443283,-73.25485,4,4589437,645784,18T,1,"('Boating', 'Fishing')"
114,"['W-W-16022, Weekeepeemee, Brushy Hill Rd, Woodbury']",['Regular sample'],2020-08-05,10:54:42,Weekeepeemee,11.5,['Wet'],"['Sunny', 'Sun with some clouds']",26.6,['Low'],['None'],['Tea'],['Fishing'],20.7,197.7,,1553.0,0.32,41.585621,-73.230662,4,4605281,647482,18T,2,"Danger ! Unsafe for swimming, boating, fishing or wading"
111,"['P-S-18395, Pomperaug, The Gym - Flood Bridge Rd, Southbury']",['Regular sample'],2020-08-05,11:44:33,Pomperaug,44.2,['Wet'],['Cloudy'],26.9,['Average'],['None'],['Clear'],['Fishing'],22.7,315,,517.0,0.70,41.468012,-73.232326,4,4592221,647610,18T,1,"('Boating', 'Fishing')"
112,"['P-S-15388, Pomperaug, Bent of the River, Southbury']",['Regular sample'],2020-08-05,11:14:52,Pomperaug,44.2,['Wet'],['Cloudy'],27.5,['Average'],['None'],['Clear'],['Fishing'],22.7,370,,649.0,0.68,41.468654,-73.257985,4,4592248,645466,18T,2,"Danger ! Unsafe for swimming, boating, fishing or wading"
110,"['W-B-15009, Weekeepeemee, Wood Creek Rd,\tBethlehem']",['Regular sample'],2020-08-05,11:51:19,Weekeepeemee,11.5,['Wet'],"['Sunny', 'Sun with some clouds']",24.3,['Low'],['Musky'],['Tea'],['Fishing'],20.3,194,Many small pipes brought in on uphill side of the bridge on both left and right side of the road. Put in near silt fence.,387.0,0.25,41.638913,-73.224928,4,4611208,647838,18T,1,"('Boating', 'Fishing')"
109,"['P-S-15025, Pomperaug, Poverty Rd - Ewald Park - USGS Gauge, Southbury']",['Regular sample'],2020-08-05,12:00:15,Pomperaug,44.2,['Wet'],['Cloudy'],24.4,['Average'],['None'],['Clear'],['Fishing'],21.4,323,,921.0,0.81,41.481726,-73.22446,4,4593757,648236,18T,2,"Danger ! Unsafe for swimming, boating, fishing or wading"
108,"['P-S-15162, Pomperaug, Route 67 - Bennett Park, Southbury']",['Regular sample'],2020-08-05,12:20:27,Pomperaug,44.2,['Wet'],['Cloudy'],27.5,['Average'],['None'],['Clear'],['Fishing'],23.2,218,Abnormally large amount of dogs and people swimming/wading in river from the Southbury Dog Park.,525.0,0.67,41.501085,-73.219115,4,4595915,648638,18T,1,"('Boating', 'Fishing')"
107,"['N-W-16274, Nonnewaug, Rt 61 Bridge, Woodbury']",['Regular sample'],2020-08-05,12:19:10,Nonnewaug,3.98,['Wet'],"['Sunny', 'Sun with some clouds']",28.8,['Low'],['None'],['Tea'],['Fishing'],22.6,233,,2420.0,0.54,41.599224,-73.17344,4,4606891,652219,18T,2,"Danger ! Unsafe for swimming, boating, fishing or wading"
106,"['N-W-16335, Nonnewaug, Mill Rd - USGS Gauge, Woodbury']",['Regular sample'],2020-08-05,12:38:11,Nonnewaug,3.98,['Wet'],"['Sun with some clouds', 'Sunny']",26.3,['Low'],['None'],['Clear'],['Fishing'],22.1,195.2,,2420.0,0.69,41.575306,-73.179795,4,4604224,651746,18T,2,"Danger ! Unsafe for swimming, boating, fishing or wading"
105,"['N-W-16335, Nonnewaug, Mill Rd - USGS Gauge, Woodbury']",['Duplicate'],2020-08-05,12:42:24,Nonnewaug,3.98,['Wet'],"['Sun with some clouds', 'Sunny']",26.3,['Low'],['None'],['Clear'],['Fishing'],22.1,195.2,,2420.0,0.68,41.575268,-73.179685,4,4604220,651755,18T,2,"Danger ! Unsafe for swimming, boating, fishing or wading"
104,"['P-W-15012, Pomperaug, Middle Quarter / South Pomperaug Ave, Woodbury']",['Regular sample'],2020-08-05,12:36:53,Pomperaug,44.2,['Wet'],['Cloudy'],24.4,['Average'],['None'],['Tea'],['Fishing'],22.6,216,,517.0,0.78,41.52188,-73.206095,4,4598246,649676,18T,1,"('Boating', 'Fishing')"
113,"['W-W-CHOH, Weekeepeemee, Chohees Trail,\tWoodbury']",['Regular sample'],2020-08-05,11:08:27,Weekeepeemee,11.5,['Wet'],"['Sun with some clouds', 'Sunny']",25.7,['Low'],['None'],['Tea'],['Fishing'],21.7,218,,866.0,0.31,41.604571,-73.225139,4,4607394,647899,18T,2,"Danger ! Unsafe for swimming, boating, fishing or wading"
88,"['P-S-15388, Pomperaug, Bent of the River, Southbury']",['Duplicate'],2020-08-18,09:59:57,Pomperaug,10.9,['Wet'],['Sunny'],22.2,['Low'],['None'],['Clear'],['Fishing'],20.6,472,B - duplicate,166.0,0.78,41.468643,-73.258062,4,4592247,645459,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
90,"['P-W-15012, Pomperaug, Middle Quarter / South Pomperaug Ave, Woodbury']",['Regular sample'],2020-08-18,11:30:24,Pomperaug,10.9,['Wet'],['Sun with some clouds'],22.4,['Low'],['None'],['Clear'],['Fishing'],21.7,247,,66.0,0.76,41.52194,-73.206194,4,4598253,649668,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
91,"['N-W-16335, Nonnewaug, Mill Rd - USGS Gauge, Woodbury']",['Regular sample'],2020-08-18,11:21:47,Nonnewaug,1.5,['Wet'],['Sunny'],21.4,['Low'],['None'],['Clear'],['Fishing'],20.8,204,Water had no odor but air smelled of horse manure likely from adjacent farm.,313.0,0.51,41.575249,-73.179866,4,4604218,651740,18T,1,"('Boating', 'Fishing')"
92,"['P-S-15162, Pomperaug, Route 67 - Bennett Park, Southbury']",['Regular sample'],2020-08-18,11:08:44,Pomperaug,10.9,['Wet'],['Sunny'],24.9,['Low'],['None'],['Clear'],['Fishing'],22.2,248,"5 dogs, one jumped in.",93.0,0.48,41.500982,-73.21911,4,4595904,648638,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
93,"['N-W-16274, Nonnewaug, Rt 61 Bridge, Woodbury']",['Regular sample'],2020-08-18,11:06:14,Nonnewaug,1.5,['Wet'],['Sunny'],21.2,['Low'],['Musky'],['Clear'],['Fishing'],19.8,261,,147.0,0.47,41.599226,-73.173438,4,4606891,652220,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
94,"['P-S-15025, Pomperaug, Poverty Rd - Ewald Park - USGS Gauge, Southbury']",['Regular sample'],2020-08-18,10:47:35,Pomperaug,10.9,['Wet'],['Sunny'],23.3,['Low'],['None'],['Clear'],['Fishing'],20.5,395,,185.0,0.70,41.481773,-73.22437,4,4593762,648243,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
100,"['W-W-16022, Weekeepeemee, Brushy Hill Rd, Woodbury']",['Regular sample'],2020-08-18,09:56:40,Weekeepeemee,2.34,['Wet'],['Sunny'],21.1,['Low'],['None'],['Clear'],['Fishing'],19.0,202,,78.0,0.24,41.585517,-73.230687,4,4605269,647480,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
96,"['W-B-15009, Weekeepeemee, Wood Creek Rd,\tBethlehem']",['Regular sample'],2020-08-18,10:40:17,Weekeepeemee,2.34,['Wet'],['Sunny'],20.9,['Very low'],['None'],['Clear'],['Fishing'],18.9,265,Tree work and conduits\pipes near bridge.,27.0,0.37,41.638855,-73.224971,4,4611201,647834,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
97,"['P-S-18395, Pomperaug, The Gym - Flood Bridge Rd, Southbury']",['Regular sample'],2020-08-18,10:26:55,Pomperaug,10.9,['Wet'],['Sunny'],24.6,['Average'],['None'],['Clear'],['Fishing'],20.5,480,Ducks,228.0,0.86,41.468031,-73.232291,4,4592223,647613,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
98,"['W-W-CHOH, Weekeepeemee, Chohees Trail,\tWoodbury']",['Regular sample'],2020-08-18,10:18:23,Weekeepeemee,2.34,['Wet'],['Sunny'],20.4,['Low'],['None'],['Clear'],['Fishing'],20.3,258,"Spoke to farmer. He asked about bacteria, concerned about source and about impression it sends to publish. Mentioned neighbors manure pile. Asked about bracketing upstream.",65.0,0.28,41.60454,-73.225105,4,4607391,647902,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
101,"['W-W-15530, Weekeepeemee, Jacks Bridge Rd, Woodbury']",['Regular sample'],2020-08-18,09:35:03,Weekeepeemee,2.34,['Wet'],['Sunny'],19.9,['Low'],['Musky'],['Clear'],['Fishing'],19.8,157.1,Shady,33.0,0.38,41.557654,-73.215458,4,4602202,648813,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
102,"['P-S-OAKD, Pomperaug, Oakdale Manor, Southbury']",['Regular sample'],2020-08-18,09:23:51,Pomperaug,10.9,['Wet'],['Sunny'],21.6,['Average'],['None'],['Clear'],"['Boating', 'Fishing']",21.9,441,Duck,291.0,0.61,41.443078,-73.255055,4,4589414,645768,18T,1,"('Boating', 'Fishing')"
103,"['N-W-14355, Nonnewaug, Rt 47 Bridge, Woodbury']",['Regular sample'],2020-08-18,09:04:54,Nonnewaug,1.4,['Wet'],['Sunny'],24.9,['Low'],['None'],['Clear'],['Fishing'],18.2,202,A lot of aquatic plants on rocks in stream.,517.0,0.86,41.557818,-73.21204,4,4602226,649098,18T,1,"('Boating', 'Fishing')"
95,"['W-B-15009, Weekeepeemee, Wood Creek Rd,\tBethlehem']",['Duplicate'],2020-08-18,10:49:33,Weekeepeemee,2.34,['Wet'],['Sunny'],19.9,['Very low'],['None'],['Clear'],['Fishing'],18.9,265,construction activity at the bridge,24.0,0.37,41.638853,-73.224942,4,4611201,647837,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
99,"['P-S-15388, Pomperaug, Bent of the River, Southbury']",['Regular sample'],2020-08-18,09:59:36,Pomperaug,10.9,['Wet'],['Sunny'],22.2,['Low'],['None'],['Clear'],['Fishing'],20.6,472,Nothing,141.0,0.79,41.468643,-73.258062,4,4592247,645459,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
83,"['W-W-16022, Weekeepeemee, Brushy Hill Rd, Woodbury']",['Regular sample'],2020-09-02,10:56:19,Weekeepeemee,4.50,['Wet'],['Light rain'],19.6,['Average'],['Musky'],['Cloudy'],['Fishing'],18.1,164.4,,2420.0,0.24,41.585573,-73.230815,4,4605275,647469,18T,2,"Danger ! Unsafe for swimming, boating, fishing or wading"
85,"['W-W-15530, Weekeepeemee, Jacks Bridge Rd, Woodbury']",['Regular sample'],2020-09-02,10:32:55,Weekeepeemee,4.26,['Wet'],['Light rain'],19.9,['Average'],['None'],['Clear'],['Fishing'],18.8,155.1,,548.0,0.32,41.55769,-73.215486,4,4602206,648811,18T,1,"('Boating', 'Fishing')"
86,"['N-W-14355, Nonnewaug, Rt 47 Bridge, Woodbury']",['Regular sample'],2020-09-02,10:05:39,Nonnewaug,1.85,['Wet'],['Light rain'],19.6,['Low'],['None'],['Clear'],['Fishing'],17.4,203,"Seems like a low river, you can see there bottom.,",1120.0,1.10,41.557757,-73.211978,4,4602220,649103,18T,2,"Danger ! Unsafe for swimming, boating, fishing or wading"
73,"['N-W-16335, Nonnewaug, Mill Rd - USGS Gauge, Woodbury']",['Regular sample'],2020-09-02,12:46:56,Nonnewaug,2.57,['Wet'],['Light rain'],20.3,['Average'],['Musky'],['Clear'],['Fishing'],18.5,174.5,,2420.0,0.53,41.575233,-73.179848,4,4604216,651742,18T,2,"Danger ! Unsafe for swimming, boating, fishing or wading"
74,"['N-W-16274, Nonnewaug, Rt 61 Bridge, Woodbury']",['Duplicate'],2020-09-02,12:25:00,Nonnewaug,2.41,['Wet'],['Light rain'],20.5,['Average'],['Musky'],['Clear'],['Fishing'],18.5,196.5,,649.0,0.48,41.599238,-73.173408,4,4606892,652222,18T,2,"Danger ! Unsafe for swimming, boating, fishing or wading"
76,"['P-W-15012, Pomperaug, Middle Quarter / South Pomperaug Ave, Woodbury']",['Regular sample'],2020-09-02,12:19:49,Pomperaug,19.7,['Wet'],['Moderate or steady rain'],20.7,"['Average', 'Low']",['None'],['Tea'],['Fishing'],19.2,207,Signs of fresh beaver activity,411.0,0.80,41.521945,-73.206149,4,4598254,649672,18T,1,"('Boating', 'Fishing')"
77,"['P-S-15162, Pomperaug, Route 67 - Bennett Park, Southbury']",['Regular sample'],2020-09-02,11:56:17,Pomperaug,19.7,['Wet'],['Moderate or steady rain'],20.6,['Low'],['Other'],['Tea'],"['Fishing', 'Other']",19.7,243,Dog park / 2 doggies playing in the river,291.0,0.62,41.501004,-73.219123,4,4595906,648637,18T,1,"('Boating', 'Fishing')"
75,"['N-W-16274, Nonnewaug, Rt 61 Bridge, Woodbury']",['Regular sample'],2020-09-02,12:23:03,Nonnewaug,2.57,['Wet'],['Foggy/misty'],20.5,['Average'],['Musky'],['Clear'],['Fishing'],18.5,196.5,,921.0,0.48,41.599238,-73.173408,4,4606892,652222,18T,2,"Danger ! Unsafe for swimming, boating, fishing or wading"
